CaseName,Method,Path,Headers,Query,Body,ExpectedHTTP,AssertJson
Auth-发送验证码-正常,GET,/auth/send-code,,"email=test@example.com",,200,"$.code==1"
Auth-发送验证码-缺少邮箱,GET,/auth/send-code,,,,"400/500","$.code!=1"
Auth-注册-正常,POST,/auth/register,,"","{""phone"":""13800000099"",""email"":""u99@example.com"",""password"":""123456"",""nickname"":""用户99"",""code"":""000000""}",200,"$.code==1"
Auth-注册-缺少手机号,POST,/auth/register,,"","{""email"":""u@example.com"",""password"":""123456"",""nickname"":""用户""}",200,"$.code!=1"
Auth-登录-正常,POST,/auth/login,,"","{""phone"":""13800000001"",""password"":""123456""}",200,"$.code==1 && $.data.token"
Auth-登录-密码错误,POST,/auth/login,,"","{""phone"":""13800000001"",""password"":""wrong""}",200,"$.code!=1"
Auth-个人信息-已登录,GET,/auth/profile,"token:{{token}}",,,200,"$.code==1 && $.data.userId"
Auth-个人信息-未登录,GET,/auth/profile,,, ,401,""

Wallet-流水-已登录,GET,/wallet/transactions,"token:{{token}}",,,200,"$.code==1"
Wallet-充值-正常,POST,/wallet/recharge,"token:{{token}}",,"{""amount"":100}",200,"$.code==1"
Wallet-充值-金额<=0,POST,/wallet/recharge,"token:{{token}}",,"{""amount"":0}",200,"$.code!=1"

Products-搜索-正常,GET,/products,,,"keyword=奶&status=1",,200,"$.code==1"
Products-详情-正常,GET,/products/{{productId}},,,,200,"$.code==1 && $.data.productId"
Products-创建-商家,POST,/products,"token:{{sellerToken}}",,"{""productName"":""测试商品"",""categoryId"":1,""price"":9.9,""stock"":10,""status"":2}",200,"$.code==1"
Products-创建-非商家,POST,/products,"token:{{token}}",,"{""productName"":""测试商品"",""categoryId"":1,""price"":9.9,""stock"":10,""status"":2}",200,"$.code!=1"
Products-更新-商家,PUT,/products/{{productId}},"token:{{sellerToken}}",,"{""productName"":""测试商品2"",""categoryId"":1,""price"":19.9,""stock"":10,""status"":2}",200,"$.code==1"
Products-上下架,POST,/products/{{productId}}/status,"token:{{sellerToken}}",,"{""status"":1}",404,""

